UID        PID  PPID  C STIME TTY          TIME CMD
root       407     2  0 Aug10 ?        00:00:00 [ksmd]
root       408     2  0 Aug10 ?        00:26:46 [khugepaged]
root       415 13698  0 Aug27 ?        00:00:00 /bin/sh
root       422  6873  0 Aug11 ?        00:00:00 /bin/sh
root       425   415  0 Aug27 ?        00:00:00 /root/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /tmp/vscode-remote-containers-server-94858e44684f833aabb80cd8f27a93c2b4282ca8.js
root       429  6873  0 Aug11 ?        00:00:00 /bin/sh
root       432   401  0 Aug24 ?        00:00:00 /root/.vscode-server/bin/da76f93349a72022ca4670c1b84860304616aaa2/node /tmp/vscode-remote-containers-server-347a853e549f4664eaac0e86ab93676975830777.js
chenyang   435 65499  0 Aug10 pts/37   00:48:49 docker run --shm-size 8g --gpus all -v /data/yc/niti_new/niti-cifar10-float/:/niti -it wangmaolin/niti:0.1
root       455     2  0 Aug10 ?        00:00:00 [kintegrityd]
root       456     2  0 Aug10 ?        00:00:00 [kblockd]
root       457     2  0 Aug10 ?        00:00:00 [blkcg_punt_bio]
root       459   422  0 Aug11 ?        00:00:00 /root/.vscode-server/bin/3b889b090b5ad5793f524b5d1d39fda662b96a2a/node /tmp/vscode-remote-containers-server-5c09e0e019802c2f1605acd5005d2609e36fa899.js
root       462     2  0 Aug10 ?        00:00:00 [tpm_dev_wq]
root       463     2  0 Aug10 ?        00:00:00 [ata_sff]
root       464     2  0 Aug10 ?        00:00:00 [md]
root       465     2  0 Aug10 ?        00:00:00 [edac-poller]
root       466     2  0 Aug10 ?        00:00:00 [devfreq_wq]
root       467     2  0 Aug10 ?        00:00:00 [watchdogd]
root       472     2  1 Aug10 ?        06:21:46 [kswapd0]
root       473     2  1 Aug10 ?        05:06:43 [kswapd1]
root       474     2  0 Aug10 ?        00:00:00 [ecryptfs-kthrea]
root       476     2  0 Aug10 ?        00:00:00 [kthrotld]
root       477     2  0 Aug10 ?        00:00:00 [irq/24-pciehp]
root       483   429  0 Aug11 ?        00:00:00 /root/.vscode-server/bin/3b889b090b5ad5793f524b5d1d39fda662b96a2a/node /tmp/vscode-remote-containers-server-88dc4f45673d085d9869d0d7e07adc91319313f9.js
root       522     1  0 Aug10 ?        00:29:43 /usr/bin/containerd-shim-runc-v2 -namespace moby -id f362cf2ad8258c8344dd546a94f17123a0385c2932cc38c4bf7687fec414c6de -address /run/containerd/containerd.sock
root       535     2  0 Aug10 ?        00:00:00 [irq/52-pciehp]
root       536     2  0 Aug10 ?        00:00:00 [irq/53-pciehp]
root       537     2  0 Aug10 ?        00:00:00 [acpi_thermal_pm]
root       538     2  0 Aug10 ?        00:00:00 [vfio-irqfd-clea]
root       540     2  0 Aug10 ?        00:00:00 [ipv6_addrconf]
root       549     2  0 Aug10 ?        00:00:00 [kstrp]
root       552     2  0 Aug10 ?        00:00:00 [kworker/u131:0]
root       553     2  0 Aug10 ?        00:00:00 [kworker/u132:0]
root       554     2  0 Aug10 ?        00:00:00 [kworker/u133:0]
root       563  6873  0 Aug11 ?        00:00:00 /bin/sh
root       569     2  0 Aug10 ?        00:00:00 [charger_manager]
root       573   522  0 Aug10 pts/0    00:00:00 /bin/sh -c /bin/bash
root       581   563  0 Aug11 ?        00:00:00 /root/.vscode-server/bin/3b889b090b5ad5793f524b5d1d39fda662b96a2a/node /tmp/vscode-remote-containers-server-88dc4f45673d085d9869d0d7e07adc91319313f9.js
chenyang   594     1  0 Aug14 ?        00:00:02 SCREEN -S f3
chenyang   595   594  0 Aug14 pts/44   00:00:00 /bin/bash
root       601  6873  0 Aug10 ?        00:00:00 /bin/sh
root       613   601  0 Aug10 ?        00:00:00 /root/.vscode-server/bin/3b889b090b5ad5793f524b5d1d39fda662b96a2a/node /tmp/vscode-remote-containers-server-5c09e0e019802c2f1605acd5005d2609e36fa899.js
root       649     2  0 17:03 ?        00:00:00 [kworker/39:1-rc]
root       658     2  0 Aug10 ?        00:00:00 [scsi_eh_0]
root       659     2  0 Aug10 ?        00:00:00 [scsi_tmf_0]
root       660     2  0 Aug10 ?        00:00:00 [i40e]
root       662     2  0 Aug10 ?        00:00:00 [scsi_eh_1]
root       663     2  0 Aug10 ?        00:00:00 [scsi_tmf_1]
root       664     2  0 Aug10 ?        00:00:00 [scsi_eh_2]
root       665     2  0 Aug10 ?        00:00:00 [scsi_tmf_2]
root       666  6873  0 Aug23 ?        00:00:00 /bin/sh
root       667     2  0 Aug10 ?        00:00:00 [scsi_eh_3]
root       668     2  0 Aug10 ?        00:00:00 [scsi_tmf_3]
root       670     2  0 Aug10 ?        00:00:00 [poll_megasas0_s]
root       672     2  0 Aug10 ?        00:00:00 [scsi_eh_4]
root       673     2  0 Aug10 ?        00:00:00 [scsi_tmf_4]
root       674     2  0 Aug10 ?        00:00:00 [scsi_eh_5]
root       675     2  0 Aug10 ?        00:00:00 [scsi_tmf_5]
root       676     2  0 Aug10 ?        00:00:00 [scsi_eh_6]
root       677     2  0 Aug10 ?        00:00:00 [scsi_tmf_6]
root       678     2  0 Aug10 ?        00:00:00 [scsi_eh_7]
root       679     2  0 Aug10 ?        00:00:00 [scsi_tmf_7]
root       680     2  0 Aug10 ?        00:00:00 [scsi_eh_8]
